Segment,Risk Tier,Number of Members,Avg CLV,Recommended Action,Offer Details,Trigger Timing,Why
"Loyal Flyers (steady, dependable)",High Risk,41,16055.0,Loyalty check-in call,"A personal check-in call (not a discount) asking what changed, paired with a small tenure-based perk (e.g. free seat upgrade)",Within 14 days of being flagged,"A steady flyer showing rising risk is a signal something specific changed (job, life event, a bad experience) - a discount will not fix that, but ignoring it risks losing a dependable, proven customer."
Dormant / Never Flew,High Risk,430,8515.0,Low-cost reactivation nudge,"One low-cost email campaign per quarter with a simple ""welcome back"" offer; no calls, no heavy discounts","Quarterly, automated only","Lowest historical value and no flying pattern to build on - heavy investment here is not worth it, but staying present costs little."
Occasional Travelers (moderate activity),High Risk,207,7329.0,Route-relevant offer,"Targeted discount on routes they have flown before, timed to the season they historically travel in","Seasonal, timed to their own past travel pattern",They already have a preferred route/season - relevance beats a generic blanket discount.
"Champions (high value, high engagement)",High Risk,45,7253.0,Priority save call,Personal outreach from a loyalty concierge + a status match/upgrade offer for their next 2 trips,Within 7 days of being flagged,"These are the highest-value, most-engaged members - losing one costs far more than a personal call."
"Loyal Flyers (steady, dependable)",Low Risk,2194,14371.0,"Recognition, not discounting","A ""thank you"" status update / early access to seat selection, no discount needed","Ongoing, low-frequency",They already fly reliably and show no rising risk - discounting here just gives away margin for behavior they were going to do anyway.
"Champions (high value, high engagement)",Low Risk,6277,6364.0,Monitor,No action needed this cycle,N/A,Behavior currently healthy.
Occasional Travelers (moderate activity),Low Risk,2444,6143.0,Monitor,No action needed this cycle,N/A,Behavior currently healthy.
"Loyal Flyers (steady, dependable)",Medium Risk,452,12636.0,Loyalty check-in call,"A personal check-in call (not a discount) asking what changed, paired with a small tenure-based perk (e.g. free seat upgrade)",Within 14 days of being flagged,"A steady flyer showing rising risk is a signal something specific changed (job, life event, a bad experience) - a discount will not fix that, but ignoring it risks losing a dependable, proven customer."
Dormant / Never Flew,Medium Risk,196,7391.0,Low-cost reactivation nudge,"One low-cost email campaign per quarter with a simple ""welcome back"" offer; no calls, no heavy discounts","Quarterly, automated only","Lowest historical value and no flying pattern to build on - heavy investment here is not worth it, but staying present costs little."
Occasional Travelers (moderate activity),Medium Risk,1202,6715.0,Route-relevant offer,"Targeted discount on routes they have flown before, timed to the season they historically travel in","Seasonal, timed to their own past travel pattern",They already have a preferred route/season - relevance beats a generic blanket discount.
"Champions (high value, high engagement)",Medium Risk,211,5949.0,Priority save call,Personal outreach from a loyalty concierge + a status match/upgrade offer for their next 2 trips,Within 7 days of being flagged,"These are the highest-value, most-engaged members - losing one costs far more than a personal call."
